rank,es_word,es_sentence,fr_word,fr_sentence
622,resolver,"tenemos que resolver el conflicto",résoudre,"nous devons résoudre le conflit"
623,futuro,"en la actualidad, y más aún en el futuro",avenir,"actuellement, et encore plus à l'avenir"
624,oportunidad,"ahora teníamos la oportunidad de aprovechar nuestra experiencia",opportunité,"maintenant, nous avions l'opportunité de tirer parti de notre expérience"
625,mitad,"es un libro sobre la primera mitad del siglo",moitié,"c'est un livre sur la première moitié du siècle"
626,costar,"la pensión les costaba más o menos seis mil pesos",coûter,"la pension leur coûtait plus ou moins six mille pesos"
627,rico,"no quiero ser rica; quiero ser famosa",riche,"je ne veux pas être riche ; je veux être célèbre"
628,recuerdo,"es la memoria, el recuerdo de la experiencia vivida",souvenir,"c'est la mémoire, le souvenir de l'expérience vécue"
629,total,"el número total de asistentes sería de treinta personas",total,"le nombre total de participants serait de trente personnes"
630,exigir,"ya no exige sangre como los dioses paganos",exiger,"il n'exige plus de sang comme les dieux païens"
631,abajo,"¿se podría echar abajo la alianza opositora?",en bas,"pourrait-on faire tomber l'alliance opposante ?"
632,opinión,"¿cuál es su opinión sobre el gobierno español?",avis,"quelle est votre opinion sur le gouvernement espagnol ?"
633,aumentar,"el primer objetivo es aumentar el número de visitantes",augmenter,"le premier objectif est d'augmenter le nombre de visiteurs"
634,recoger,"se inclinó hacia la derecha para recoger una maleta",ramasser,"il s'est penché vers la droite pour ramasser une valise"
635,boca,"cállese la boca, hijo, que estamos estudiando",bouche,"tais-toi, mon fils, nous sommes en train d'étudier"
636,dirección,"luego desearíamos navegar en dirección a otras estrellas",direction,"ensuite, nous aimerions naviguer en direction d'autres étoiles"
637,puro,"se llenaba los pulmones con el aire puro",pur,"il remplissait ses poumons d'air pur"
638,abandonar,"cuánto nos dolerá abandonar este lugar que tanto amamos",abandonner,"combien cela nous fera mal d'abandonner cet endroit que nous aimons tant"
639,pieza,"el huarache es una pieza de pan cortado por la mitad",morceau,"le huarache est une pièce de pain coupée en deux"
640,profesional,"creo que era un salvavidas profesional, pagado",professionnel,"je pense que c'était une bouée de sauvetage professionnelle, payée"
641,imponer,"a menudo trataba de imponer su voluntad",imposer,"il essayait souvent d'imposer sa volonté"
642,obligar,"me obligó a terminar una novela",obliger,"il m'a obligé à terminer un roman"
643,físico,"su trabajo requería un gran esfuerzo físico",physique,"son travail nécessitait un grand effort physique"
644,actitud,"hay que tener siempre una actitud de metódico escepticismo",attitude,"il faut toujours avoir une attitude de scepticisme méthodique"
645,mar,"sobre todo en la región costera del mar Rojo",mer,"surtout dans la région côtière de la mer Rouge"
646,francés,"era una auténtica madame francesa",français,"c'était une véritable madame française"
647,entrada,"llegamos nada más que hasta la entrada de la casa",entrée,"nous sommes arrivés seulement jusqu'à l'entrée de la maison"
648,contacto,"nos mantendremos en contacto por vía telefónica",contact,"nous resterons en contact par téléphone"
649,corazón,"el amor llena tu corazón",cœur,"l'amour remplit ton cœur"
650,aplicar,"lo amarró a un árbol y le aplicó una feroz paliza",appliquer,"elle l'a attaché à un arbre et lui a infligé une violente correction"
651,capital,"Praga es la capital de la República Checa",capitale,"Prague est la capitale de la République tchèque"
652,rápido,"vamos a buscar una solución lo más rápido posible",rapide,"nous allons chercher une solution le plus rapidement possible"
653,título,"esa novela tiene también otro título",titre,"ce roman a aussi un autre titre"
654,pertenecer,"un 30 por ciento confiesa pertenecer a otras religiones",appartenir,"30 % avouent appartenir à d'autres religions"
655,cuarto,"dormía en un cuarto donde estaba la cama de ella",quatrième,"il dormait dans une chambre où se trouvait son lit à elle"
656,material,"la aplicación de los materiales superconductores de alta temperatura",matériel,"l'application des matériaux supraconducteurs à haute température"
657,golpe,"se murió por un golpe recibido en el cráneo",coup,"il est mort d'un coup reçu à la tête"
658,disponer,"el enemigo dispone de tropas y armas",disposer,"l'ennemi dispose de troupes et d'armes"
659,comunicación,"la falta de comunicación es nuestra principal limitación",communication,"le manque de communication est notre principale limitation"
660,expresar,"ya expresó su opinión contraria",exprimer,"il a déjà exprimé son opinion contraire"
661,simple,"al principio papá lo veía como un simple juego",simple,"au début, papa le voyait comme un simple jeu"
662,totalmente,"el departamento estaba totalmente desnudo",totalement,"l'appartement était complètement nu"
663,provocar,"la brisa provoca una blanca lluvia de flores",provoquer,"la brise provoque une pluie blanche de fleurs"
664,normal,"los altibajos son algo normal de la vida diaria",normal,"les hauts et les bas sont quelque chose de normal dans la vie quotidienne"
665,defender,"debemos defender nuestros derechos",défendre,"nous devons défendre nos droits"
666,enfermedad,"Diría aún que el rock es una enfermedad de los jóvenes",maladie,"Je dirais même que le rock est une maladie des jeunes"
667,bien,"el número de bienes que pueda poseer en un momento dado",biens,"le nombre de biens qu'il peut posséder à un moment donné"
668,materia,"en materia musical, la tecnología ha sufrido un receso",matière,"en matière musicale, la technologie a connu une pause"
669,quitar,"sin problemas quita la sábana que cubre la cara de uno",retirer,"sans problème, il retire le drap qui couvre le visage de l'un"
670,conservar,"una señora que conserva recuerdos de su padre",conserver,"une dame qui conserve des souvenirs de son père"
671,moderno,"he escrito sobre el arte moderno",moderne,"j'ai écrit sur l'art moderne"
672,sitio,"de ocupar el sitio que me correspondía en la casa",place,"occuper la place qui me revenait dans la maison"
673,depender,"no me gusta depender de otra gente",dépendre,"je n'aime pas dépendre des autres"
674,naturaleza,"su naturaleza racional encierra un espíritu poético",nature,"sa nature rationnelle renferme un esprit poétique"
675,capacidad,"tenía una gran capacidad para entender los tiempos nuevos",capacité,"il avait une grande capacité à comprendre les temps nouveaux"
676,actual,"¿la gente del actual Gobierno lo sabe?",actuel,"le gouvernement actuel le sait-il ?"
677,marcar,"vemos así la estrella Polar, que marca el norte mejor que una brújula",marquer,"nous voyons ainsi l'étoile polaire, qui marque le nord mieux qu'une boussole"
678,distancia,"¿qué puedo decir a miles de kilómetros de distancia?",distance,"que puis-je dire à des milliers de kilomètres de distance ?"
679,pleno,"el tiempo es un ladrón experto que roba a pleno día",plein,"le temps est un voleur expert qui vole en plein jour"
680,cerrado,"las cámaras de TV de circuito cerrado",fermé,"les caméras de télévision à circuit fermé"
681,compartir,"espero que compartas tu jubilación conmigo",partager,"j'espère que tu partageras ta retraite avec moi"
682,información,"trató de obtener información más precisa",information,"il a essayé d'obtenir des informations plus précises"
683,ambiente,"un ambiente silencioso le ayudó para concentrarse",environnement,"un environnement silencieux l'a aidé à se concentrer"
684,especialmente,"no era especialmente devota del amor en cautiverio",spécialement,"elle n'était pas spécialement dévouée à l'amour en captivité"
685,desarrollo,"dicen que ya hay planes de desarrollo urbano",développement,"on dit qu'il existe déjà des plans de développement urbain"
686,sol,"se levanta antes del sol y no hay luz eléctrica",soleil,"il se lève avant le lever du soleil et il n'y a pas d'électricité"
687,muerto,"viven sobre materia orgánica muerta o en descomposición",mort,"ils vivent sur de la matière organique morte ou en décomposition"
688,consistir,"la carga suele consistir de materias primas",consister,"la charge consiste généralement en des matières premières"
689,constituir,"los miembros que pueden constituir un sector competitivo",constituer,"les membres qui peuvent constituer un secteur compétitif"
690,dispuesto,"estaba dispuesto a hacer cualquier sacrificio por la Patria",prêt,"il était prêt à faire n'importe quel sacrifice pour la Patrie"
691,cubrir,"se cubre el rostro con un pañuelo",couvrir,"elle couvre son visage d'un mouchoir"
692,funcionar,"un sistema hidráulico que funcionaba mediante estanques de agua",fonctionner,"un système hydraulique fonctionnant à l'aide de réservoirs d'eau"
693,compañero,"fue compañero mío de universidad, muy buen amigo",camarade,"c'était un camarade de l'université, un très bon ami"
694,salida,"quizá por miedo a meterse en un callejón sin salida",sortie,"peut-être par peur de s'engager dans une impasse"
695,caber,"no van a caber las cosas en la casa",tenir,"les choses ne vont pas tenir dans la maison"
696,conciencia,"se dormía en paz con su conciencia y con Dios",conscience,"il dormait en paix avec sa conscience et avec Dieu"
697,atender,"los médicos se alternarían para atender a los pacientes",soigner,"les médecins se relaieraient pour soigner les patients"
698,enfermo,"el cayó enfermo de tuberculosis",malade,"il est tombé malade de la tuberculose"
699,insistir,"el gobierno no debería insistir en este tipo de intervenciones",insister,"le gouvernement ne devrait pas insister sur ce type d'interventions"
700,costumbre,"tampoco faltaban, como era costumbre, las faltas de respeto",habitude,"comme c'était d'habitude, les manques de respect ne manquaient pas non plus"
701,detrás,"pueden estar detrás de ese árbol",derrière,"ils peuvent être derrière cet arbre"
702,paz,"de inmediato que se siente en un ambiente de paz y armonía",paix,"dès qu'il se sent dans un environnement de paix et d'harmonie"
703,noticia,"¿qué noticias tienen de la isla de Mallorca?",nouvelle,"quelles nouvelles avez-vous de l'île de Majorque ?"
704,circunstancia,"tuvimos que enfrentar una circunstancia económica difícil",circonstance,"nous avons dû faire face à une circonstance économique difficile"
705,dolor,"se levantó quejándose de un dolor de espalda",douleur,"il s'est levé en se plaignant d'un mal de dos"
706,privado,"los sectores público y privado han reducido sus obligaciones",privé,"les secteurs public et privé ont réduit leurs obligations"
707,estilo,"la casa era de estilo antiguo, con una gran galería al frente",style,"la maison était de style ancien, avec une grande galerie à l'avant"
708,precio,"¡lleven tres al precio de uno!",prix,"prenez-en trois pour le prix d'un !"
709,popular,"¿se trata de música popular o culta?",populaire,"est-ce de la musique populaire ou savante ?"
710,sentar,"los niños pasaban a sentarse en un escritorio",asseoir,"les enfants passaient s'asseoir à un bureau"
711,planta,"ninguna planta capaz de dar frutos puede crecer sobre esta tierra",plante,"aucune plante capable de donner des fruits ne peut pousser sur cette terre"
712,personaje,"es difícil comprenderlo porque era un personaje muy complicado",personnage,"c'est difficile à comprendre parce que c'était un personnage très compliqué"
713,famoso,"es un hombre que ya es famoso precisamente por esas hazañas",célèbre,"c'est un homme qui est déjà célèbre précisément pour ces exploits"
714,éxito,"tiene mucho éxito con sus piezas teatrales",succès,"il a beaucoup de succès avec ses pièces de théâtre"
715,hija,"es hija de padres divorciados",fille,"elle est la fille de parents divorcés"
716,merecer,"un interesante artista viajero que merece la pena conocer",mériter,"un artiste voyageur intéressant qui mérite d'être connu"
717,ediﬁcio,"era un colegio estilo colonial el edificio",bâtiment,"c'était un bâtiment de style colonial, l'école"
718,autoridad,"la autoridad no se impone, se gana con el respeto",autorité,"l'autorité ne s'impose pas, elle se gagne avec le respect"
719,piedra,"se había obtenido obsidiana (piedra volcánica)",pierre,"de l'obsidienne (pierre volcanique) avait été obtenue"
720,incluir,"el Partido no incluye ni excluye a nadie",inclure,"le Parti n'inclut ni n'exclut personne"
721,conjunto,"para mí fue el conjunto de cosas el que no me gustó",ensemble,"pour moi, c'était l'ensemble des choses qui ne me plaisait pas"
722,treinta,"van a venir unas treinta personas",trente,"environ trente personnes vont venir"
723,cuánto,"¿Cuánto tiempo querías? ¿Una eternidad?",combien,"Combien de temps voulais-tu ? Une éternité ?"
739,preciso,"en el preciso instante en que la puerta resonó contra la pared",précis,"au moment précis où la porte résonna contre le mur"
740,diverso,"las cortezas de árboles de diversas especies",divers,"les écorces d'arbres de diverses espèces"
724,inmediato,"anunció que regresaría de inmediato al aeropuerto",immédiat,"il a annoncé qu'il reviendrait immédiatement à l'aéroport"
725,suerte,"yo también estuve en esa guerra, aunque tuve la suerte de sobrevivir",chance,"j'ai aussi été dans cette guerre, bien que j'aie eu la chance de survivre"
726,cruzar,"dudó un momento sin cruzar la calle",traverser,"il a hésité un moment sans traverser la rue"
727,tender,"la historia tendía a ser endiabladamente repetitiva",avoir tendance,"l'histoire avait tendance à être diablement répétitive"
728,ﬁnalmente,"la casa fue finalmente demolida",en fin de compte,"la maison a finalement été démolie"
729,junto,"desde hace varios años trabaja junto con el profesor",ensemble,"depuis plusieurs années, il travaille avec le professeur"
730,anunciar,"le oí anunciar la llegada de su invitado",annoncer,"je l'ai entendu annoncer l'arrivée de son invité"
731,espíritu,"son, en cambio, una muestra del mismo espíritu de intolerancia",esprit,"ils sont, en revanche, une manifestation du même esprit d'intolérance"
732,miembro,"es el miembro más destacado del grupo",membre,"il est le membre le plus éminent du groupe"
741,diﬁcultad,"nos encontramos en dificultades con la estación",difficulté,"nous rencontrons des difficultés avec la saison"
742,comentar,"buscamos el manuscrito para comentar algunos pasajes",commenter,"nous cherchons le manuscrit pour commenter certains passages"
743,publicar,"voy a publicar otro libro con el resto",publier,"je vais publier un autre livre avec le reste"
744,familiar,"por tradición, el negocio familiar pasa a los hijos",familial,"par tradition, l'entreprise familiale passe aux enfants"
745,voluntad,"donde hay una voluntad hay un camino",volonté,"où il y a une volonté, il y a un chemin"
746,reunión,"vamos a tener una reunión con él el próximo lunes",réunion,"nous aurons une réunion avec lui lundi prochain"
747,modelo,"¿alguna vez has sido modelo de un pintor?",modèle,"as-tu déjà été modèle pour un peintre ?"
748,cargar,"cargó en su mochila todo lo necesario y partió",charger,"il a chargé dans son sac à dos tout ce dont il avait besoin et est parti"
749,fecha,"lo celebro inmortalizando esta fecha en mi diario",date,"je célèbre cela en immortalisant cette date dans mon journal"
733,directo,"entramos y fui directo al dormitorio",direct,"nous sommes entrés et je suis allé directement à la chambre"
734,despertar,"se volvió a dormir y se despertó de nuevo",réveiller,"il s'est rendormi et s'est réveillé à nouveau"
735,recurso,"tienen todas nuestras técnicas y recursos a su disposición",ressource,"ils ont toutes nos techniques et ressources à leur disposition"
736,pared,"en la pared se ve colgada una pintura",mur,"sur le mur est accroché un tableau"
737,equipo,"volvió a Madrid para formar un equipo de trabajo",équipe,"il est retourné à Madrid pour former une équipe de travail"
738,comercial,"se encontraba en el piso comercial de unos grandes almacenes",commercial,"il était dans le rayon commercial d'un grand magasin"
750,participar,"me quería meter en eso, participar y trabajar en todo eso",participer,"je voulais m'impliquer là-dedans, participer et travailler sur tout cela"
751,impedir,"nadie puede impedir este suceso",empêcher,"personne ne peut empêcher cet événement"
752,propósito,"estamos totalmente de acuerdo con el propósito de la iniciativa",objectif,"nous sommes totalement d'accord avec l'objectif de l'initiative"
753,salvar,"la amaba porque le había salvado la vida",sauver,"il l'aimait parce qu'elle lui avait sauvé la vie"
754,cuidado,"mira, tú tienes que tener cuidado con tu forma de expresarte",attention,"regarde, tu dois faire attention à ta façon de t'exprimer"
755,puesto,"me ofrecieron un puesto como redactora para la América Latina",poste,"on m'a offert un poste de rédactrice pour l'Amérique latine"
756,grado,"las discusiones llegaban a un grado de violencia",niveau,"les discussions atteignaient un niveau de violence"
757,escapar,"sentí deseos de salir corriendo, escapar de aquella casa",s'échapper,"j'ai eu envie de courir, de m'échapper de cette maison"
758,lucha,"la lucha contra el desempleo es la principal prioridad",lutte,"la lutte contre le chômage est la principale priorité"
759,tirar,"el público se puso furioso y nos tiró tomates",jeter,"le public s'est mis en colère et nous a jeté des tomates"
760,entero,"son conocidos en el mundo entero",entier,"ils sont connus dans le monde entier"
761,jefe,"es el jefe de una nueva tribu de guerreros",chef,"il est le chef d'une nouvelle tribu de guerriers"
762,interesante,"te quieren contar cosas interesantes que te diviertan",intéressant,"ils veulent te raconter des choses intéressantes qui t'amusent"
763,amplio,"se encontraba en el amplio y fresco corredor de una vivienda",vaste,"il se trouvait dans le vaste et frais couloir d'une maison"
764,contestar,"no puede contestar esta pregunta",répondre,"il ne peut pas répondre à cette question"
765,periódico,"su padre bajó el periódico que leía",journal,"son père a baissé le journal qu'il lisait"
766,preocupar,"cada día le preocupa más la suerte del muchacho",inquiéter,"chaque jour, le sort du garçon l'inquiète de plus en plus"
767,prestar,"creo que te podré prestar unos mil soles",prêter,"je pense que je pourrai te prêter mille soles"
768,par,"me acaba de comprar un par de zapatos",paire,"il vient de m'acheter une paire de chaussures"
769,público,"lo que me motiva es el contacto con el público",public,"ce qui me motive, c'est le contact avec le public"
770,pesar,"el diamante pesaba sin cortar 60,25 quilates",peser,"le diamant pesait brut 60,25 carats"
771,ﬁnal,"lo que cuenta es el resultado final",final,"ce qui compte, c'est le résultat final"
772,calidad,"para mejorar la calidad de vida de los mexicanos",qualité,"pour améliorer la qualité de vie des Mexicains"
773,exponer,"el marido trató de exponer su verdadera situación económica",exposer,"le mari a essayé d'exposer sa véritable situation économique"
774,civil,"hay que respetar el código civil",civil,"il faut respecter le code civil"
775,ciencia,"han sostenido que incluso la ciencia no es tan racional como se supone",science,"ils ont soutenu que même la science n'est pas aussi rationnelle qu'on le suppose"
776,tamaño,"volvió con un paquetón de papas fritas de tamaño gigante",taille,"il est revenu avec un paquet de frites de taille géante"
777,mas,"es posible mas lo dudo",mais,"c'est possible mais j'en doute"
778,doctor,"su salud decayó y el doctor le recomendó una vida más tranquila",docteur,"sa santé a décliné et le docteur lui a recommandé une vie plus tranquille"
779,cuadro,"observó el cuadro colgado en la pared de enfrente",tableau,"il a observé le tableau accroché au mur en face"
780,caballo,"montaban a caballo y jugaban polo",cheval,"ils montaient à cheval et jouaient au polo"
781,responsabilidad,"con la libertad viene la responsabilidad",responsabilité,"avec la liberté vient la responsabilité"
782,cincuenta,"entre los cuarenta y los cincuenta años",cinquante,"entre quarante et cinquante ans"
783,interno,"la estructura sufría «un colapso interno»",interne,"la structure subissait un «effondrement interne»"
784,detalle,"conoce en detalle los horrores de la dictadura",détail,"il connaît en détail les horreurs de la dictature"
785,marcha,"se pone en marcha un mecanismo enloquecido",marche,"un mécanisme dément se met en marche"
786,nueve,"las nueve vidas del gato",neuf,"les neuf vies du chat"
787,carne,"me gusta la carne de conejo",viande,"j'aime la viande de lapin"
788,jamás,"¡Jamás he visto cosa más grandiosa y sensacional!",jamais,"Jamais je n'ai vu quelque chose d'aussi grandiose et sensationnel !"
789,pensamiento,"un pensamiento extraño nació en mi mente",pensée,"une pensée étrange est née dans mon esprit"
790,viajar,"le gustaba viajar en tren",voyager,"il aimait voyager en train"
791,cargo,"¿desde cuando ocupa usted el cargo de Director Musical?",poste,"depuis quand occupez-vous le poste de Directeur Musical ?"
792,separar,"sonrió sin separar los labios",séparer,"elle sourit sans séparer les lèvres"
793,santa,"el 30 de agosto es también la fiesta de Santa Rosa de Lima",sainte,"le 30 août est aussi la fête de Sainte Rose de Lima"
794,construcción,"suelen instalarse durante la construcción del edificio",construction,"ils sont généralement installés pendant la construction de l'immeuble"
795,juicio,"no sabemos cuál será el juicio de la crítica sobre tus escritos",jugement,"nous ne savons pas quel sera le jugement de la critique sur tes écrits"
796,terreno,"éste es un terreno muy árido",terrain,"c'est un terrain très aride"
797,piso,"había una escalera hasta el tercer piso",étage,"il y avait un escalier jusqu'au troisième étage"
798,compañía,"la compañía de teléfonos fue un monopolio de Estado",compagnie,"la compagnie de téléphone était un monopole d'État"
799,regresar,"luego de catorce días regresó a su casa",retourner,"après quatorze jours, il est retourné chez lui"
800,texto,"es un libro de texto en ciencias",texte,"c'est un livre de texte en sciences"
801,fuente,"la fuente de su inspiración hay que buscarla en Eurípides",source,"la source de son inspiration doit être recherchée chez Euripide"
802,presente,"no viven en el futuro ni en el pasado, ¡viven en el presente!",présent,"ils ne vivent ni dans le futur ni dans le passé, ils vivent dans le présent !"
803,deﬁnitivo,"ese adiós fue definitivo porque nunca volví a hablar con ella",définitif,"cet adieu a été définitif car je ne lui ai jamais reparlé"
804,revista,"publica una revista en la que colabora regularmente",magazine,"il publie un magazine auquel il collabore régulièrement"
805,esperanza,"yo creo que hay que tener fe, esperanza y caridad",espoir,"je crois qu'il faut avoir foi, espoir et charité"
806,máquina,"una máquina que convierte la energía mecánica en eléctrica",machine,"une machine qui convertit l'énergie mécanique en électricité"
807,contemplar,"R. la contempló en silencio, compadecido",contempler,"R. l'a contemplée en silence, compatissant"
808,recorrer,"su trabajo le permitió viajar y recorrer el mundo",parcourir,"son travail lui a permis de voyager et de parcourir le monde"
809,frase,"bastaría una sola palabra o una frase para decirlo",phrase,"une seule parole ou une phrase suffirait pour le dire"
810,perfecto,"queríamos encontrar el sitio perfecto",parfait,"nous voulions trouver l'endroit parfait"
811,sala,"me conduce hasta la puerta de la sala que da acceso a la galería",salle,"elle me conduit jusqu'à la porte de la salle qui donne accès à la galerie"
812,durar,"esta suerte no te va a durar toda la vida",durer,"cette chance ne durera pas toute la vie"
813,instrumento,"el músico probó su instrumento disparando algunas notas",instrument,"le musicien a testé son instrument en jouant quelques notes"
814,aquello,"aquello era un palacio",cela,"cela était un palais"
815,defensa,"para luchar hasta la muerte en defensa de la patria amenazada",défense,"pour lutter jusqu'à la mort en défense de la patrie menacée"
816,director,"ejerce este control el director de cada departamento",directeur,"le directeur de chaque département exerce ce contrôle"
817,retirar,"retiró su nombre de la contienda por la presidencia",retirer,"il a retiré son nom de la course à la présidence"
818,explicación,"el mito es una explicación imaginativa del mundo y del hombre",explication,"le mythe est une explication imaginative du monde et de l'homme"
819,artículo,"no podía concentrarse en el artículo que estaba escribiendo",article,"elle ne pouvait pas se concentrer sur l'article qu'elle écrivait"
820,debajo,"buscan algo debajo de una mesa",sous,"ils cherchent quelque chose sous une table"
821,permanecer,"estoy condenado a permanecer aquí",rester,"je suis condamné à rester ici"
822,asistir,"llegó marzo y los chicos no pudieron asistir a clases",assister,"mars est arrivé et les enfants n'ont pas pu assister aux cours"
823,doce,"la iglesia de los Doce Apóstoles",douze,"l'église des Douze Apôtres"
824,radio,"fue transmitido en cadena nacional por la radio y la televisión",radio,"il a été diffusé en réseau national à la radio et à la télévision"
825,organizar,"quisiera organizar un grupo de teatro",organiser,"je voudrais organiser un groupe de théâtre"
826,película,"en la misma zona donde se había rodado la película «West Side Story»",film,"dans la même région où le film «West Side Story» avait été tourné"
827,elección,"este año tendremos elección de 10 gobernadores",élection,"cette année, il y aura des élections pour 10 gouverneurs"
828,visita,"tras una visita a la ciudad de San Francisco",visite,"après une visite à la ville de San Francisco"
829,contener,"una dieta que no contiene las cosas que te llevan a la obesidad",contenir,"un régime qui ne contient pas les choses qui conduisent à l'obésité"
830,apoyo,"cuando necesité ayuda, ella volvió para darme su apoyo",soutien,"quand j'ai eu besoin d'aide, elle est revenue me donner son soutien"
831,presidente,"el Presidente es la máxima autoridad del país",président,"le Président est l'autorité suprême du pays"
832,arma,"después de decir esto, sacó un arma y disparó",arme,"après avoir dit cela, il a sorti une arme et a tiré"
833,árbol,"las ramas del árbol, que dan sombra",arbre,"les branches de l'arbre, qui font de l'ombre"
834,visitar,"me gustaría visitar Los Ángeles",visiter,"j'aimerais visiter Los Angeles"
835,informar,"pero alguien le informó que ya se había ido",informer,"mais quelqu'un lui a informé qu'il était déjà parti"
836,encuentro,"acepté el encuentro en el café habitual",rencontre,"j'ai accepté la rencontre dans le café habituel"
837,parecido,"el resultado daba algo parecido a la locura",semblable,"le résultat ressemblait quelque peu à la folie"
838,corriente,"la corriente eléctrica ﬂuye por uno de los electrodos",courant,"le courant électrique circule à travers l'un des électrodes"
839,lectura,"orientaba mi afición por las letras con la lectura de los clásicos",lecture,"je guidais mon penchant pour les lettres par la lecture des classiques"
840,existencia,"él ignoraba la existencia de los otros",existence,"il ignorait l'existence des autres"
841,lenguaje,"dueño de un lenguaje basado en el habla popular",langage,"propriétaire d'un langage basé sur la parole populaire"
842,enviar,"para enviarle dinero a Pancho",envoyer,"pour lui envoyer de l'argent à Pancho"
843,aun,"era popular, aun sin publicar sus principales obras",même,"il était populaire, même sans publier ses œuvres principales"
844,destino,"para abordar su vuelo con destino a Estados Unidos",destin,"pour embarquer son vol à destination des États-Unis"
845,educación,"y nada contribuye más a ellas que la educación y la cultura",éducation,"et rien n'y contribue plus que l'éducation et la culture"
846,cuidar,"debía cuidar la virginidad de la hija",prendre soin,"il devait prendre soin de la virginité de sa fille"
847,intervenir,"en espera del momento apropiado para intervenir",intervenir,"en attente du moment approprié pour intervenir"
848,operación,"con el objetivo de elaborar una operación de rescate",opération,"dans le but d'élaborer une opération de sauvetage"
849,raro,"no sé; me suena raro lo que dicen ustedes",étrange,"je ne sais pas; ça me semble étrange ce que vous dites"
850,perfectamente,"con un aspecto perfectamente sereno",parfaitement,"avec un aspect parfaitement serein"
851,extender,"ella extiende sobre la mesita un mapa astral",étendre,"elle étend sur la petite table une carte astrale"
852,comprobar,"tuvo oportunidad de comprobar la cruda realidad",vérifier,"il a eu l'occasion de vérifier la dure réalité"
853,nota,"la «españolada» tiene siempre una nota de carácter despectivo",note,"la «espagnolada» a toujours une note de caractère méprisant"
854,particular,"una forma particular de vestirse y de caminar",particulière,"une façon particulière de s'habiller et de marcher"
855,ése,"ése es el único que no está aquí",celui-là,"celui-là est le seul qui n'est pas ici"
856,militar,"las autoridades civiles y militares harán respetar esta decisión",militaire,"les autorités civiles et militaires feront respecter cette décision"
857,dormir,"esta cama es para dormir la siesta en verano",dormir,"ce lit est fait pour faire la sieste en été"
858,unido,"tenemos un candidato fuerte, tenemos un Partido unido",uni,"nous avons un candidat fort, nous avons un Parti uni"
859,discutir,"parecía discutir con un interlocutor invisible",discuter,"il semblait discuter avec un interlocuteur invisible"
860,extraordinario,"yo creo que tiene un talento extraordinario",extraordinaire,"je pense qu'il a un talent extraordinaire"
861,teatro,"amalgamaban las bellas artes, la literatura, el teatro y la música",théâtre,"ils amalgamaient les beaux-arts, la littérature, le théâtre et la musique"
862,enfrentar,"prefieren huir a enfrentarse con los soldados",affronter,"ils préfèrent fuir plutôt que de faire face aux soldats"
863,recién,"amigos que recién habían tenido un hijo",récent,"des amis qui venaient d'avoir un enfant"
864,negocio,"a base de negocios ilícitos acumuló una fortuna importante",affaire,"en faisant des affaires illicites, il a accumulé une fortune importante"
865,letra,"la letra es un jeroglífico",lettre,"la lettre est un hiéroglyphe"
866,peor,"cada día que pasa veo peor y escribo menos",pire,"chaque jour qui passe, je vois pire et j'écris moins"
867,sentimiento,"se molesta, hay en ella un sentimiento de frustración",sentiment,"elle s'énerve, il y a en elle un sentiment de frustration"
868,conducir,"el mismo camino que nos condujo a ese lugar",conduire,"le même chemin qui nous a conduits à cet endroit"
869,completamente,"me olvidé completamente de mí misma",complètement,"j'ai complètement oublié moi-même"
870,ﬁrmar,"acabamos de firmar una carta de protesta",signer,"nous venons de signer une lettre de protestation"
871,solución,"no encontraría la solución a mis problemas",solution,"il ne trouverait pas la solution à mes problèmes"
872,mío,"mozo, otro café igual al mío",mien,"garçon, un autre café comme le mien"
873,comida,"en los restaurantes no se servía comida antes de las ocho",nourriture,"dans les restaurants, on ne servait pas à manger avant huit heures"
874,impresión,"me da la impresión de que no quiere enterarse",impression,"j'ai l'impression qu'il ne veut pas comprendre"
875,plano,"A., en el plano sentimental, se mueve muy seguro de dos cosas",plan,"A., sur le plan sentimental, se déplace très sûr de deux choses"
876,intención,"comunicó a los dueños su intención de comprar la casa",intention,"il a communiqué aux propriétaires son intention d'acheter la maison"
877,humanidad,"una obra que ha sido patrimonio de la humanidad",humanité,"une œuvre qui a été classée au patrimoine de l'humanité"
878,disciplina,"una disciplina que exige paciencia y constancia",discipline,"une discipline qui exige patience et constance"
879,mover,"cuando me estiro siento como se me mueve el pulmón",bouger,"quand je m'étire, je sens mon poumon bouger"
880,fama,"su fama de guerrero no se debía solo a su valor personal",célébrité,"sa célébrité de guerrier ne provenait pas seulement de son courage personnel"
881,volumen,"no había levantado el volumen de su voz",volume,"elle n'avait pas élevé le volume de sa voix"
882,tono,"tomé una ducha caliente para darme tono",ton,"j'ai pris une douche chaude pour me donner du tonus"
883,aceptar,"aceptaron a regañadientes sus argumentos",accepter,"ils ont accepté à contrecœur ses arguments"
884,conocer,"esos tipos ni siquiera conocen tus condiciones",connaître,"ces gars ne connaissent même pas tes conditions"
885,limitar,"se va a limitar a repetir lo que dijo",limiter,"il va se limiter à répéter ce qu'il a dit"
886,verdadero,"y además, el amor verdadero es eso",vrai,"et en plus, l'amour vrai, c'est ça"
887,ayuda,"en la vida siempre he procurado serle de ayuda a alguien",aide,"dans la vie, j'ai toujours essayé d'être utile à quelqu'un"
888,cambiar,"es tonto esperar que alguien pueda cambiar",changer,"c'est idiot d'espérer que quelqu'un puisse changer"
